"date","run","tube","bopyrid","rank","time","ramp_rate","ctmax"
2023-02-27,1,1,"yes",2,52.3666666666667,0.186188811188799,37.3958333333333
2023-02-27,1,2,"no",6,48.95,0.193531468531454,36.6934523809524
2023-02-27,1,3,"no",5,49.2166666666667,0.193006993006981,36.7569444444444
2023-02-27,1,4,"yes",1,53.1333333333333,0.197552447552438,37.5625
2023-02-27,1,5,"yes",10,47.8166666666667,0.201923076923064,36.4409722222222
2023-02-27,1,6,"no",4,49.6666666666667,0.193006993006981,36.859375
2023-02-27,1,7,"no",9,48.15,0.193531468531454,36.53125
2023-02-27,1,8,"yes",3,50.1833333333333,0.191433566433555,36.9739583333333
2023-02-27,1,9,"yes",8,48.5666666666667,0.193531468531454,36.6157407407407
2023-02-27,1,10,"no",7,48.75,0.193531468531454,36.6432291666667
2023-02-28,2,1,"no",3,43.0166666666667,0.212062937062929,36.9652777777778
2023-02-28,2,2,"yes",9,41.0833333333333,0.209615384615378,36.5458333333333
2023-02-28,2,3,"yes",5,42.45,0.207167832167826,36.8368055555556
2023-02-28,2,4,"no",8,41.55,0.209615384615378,36.6333333333333
2023-02-28,2,5,"no",10,40.0666666666667,0.210139860139851,36.328125
2023-02-28,2,6,"yes",2,43.15,0.212062937062929,36.9791666666667
2023-02-28,2,7,"yes",6,42.1,0.207167832167826,36.75
2023-02-28,2,8,"no",7,41.9,0.209615384615378,36.7083333333333
2023-02-28,2,9,"no",4,42.7,0.207167832167826,36.8875
2023-02-28,2,10,"yes",1,43.65,0.212062937062929,37.1041666666667
NA,3,1,"no",8,40.1333333333333,0.195629370629359,36.3310185185185
NA,3,2,"yes",2,43.1666666666667,0.17674825174824,36.9375
NA,3,3,"yes",1,44.4,0.182467532467523,37.2083333333333
NA,3,4,"no",3,43.0166666666667,0.17674825174824,36.9114583333333
NA,3,5,"yes",6,41.25,0.180594405594394,36.5714285714286
NA,3,6,"no",7,40.6333333333333,0.195629370629359,36.4375
NA,3,7,"no",4,42.4333333333333,0.176573426573414,36.8
NA,3,8,"yes",5,41.7333333333333,0.180594405594394,36.6583333333333
NA,3,9,"yes",10,38.0333333333333,0.200524475524465,35.8958333333333
NA,3,10,"no",9,38.6833333333333,0.200524475524465,36.0397727272727
2023-03-01,4,1,"yes",5,45.7833333333333,0.19073426573426,36.4895833333333
2023-03-01,4,2,"no",8,43.8333333333333,0.197552447552442,36.1041666666667
2023-03-01,4,3,"no",7,44.1,0.194405594405587,36.171875
2023-03-01,4,4,"yes",3,47.7166666666667,0.185489510489504,36.8888888888889
2023-03-01,4,5,"yes",9,42.1,0.191608391608384,35.7348484848485
2023-03-01,4,6,"no",6,44.5333333333333,0.194405594405587,36.2470238095238
2023-03-01,4,7,"no",4,47.0833333333333,0.185489510489504,36.7583333333333
2023-03-01,4,8,"yes",10,39.6333333333333,0.198076923076913,35.1979166666667
2023-03-01,4,9,"yes",1,49.9333333333333,0.184160839160835,37.3125
2023-03-01,4,10,"no",2,49.7166666666667,0.184160839160835,37.2604166666667
