"date","run","tube","bopyrid","rank","time","ramp_rate","ctmax"
2023-02-27,1,1,"yes",2,52.3666666666667,0.186188811188799,37.3958333333333
2023-02-27,1,2,"no",6,48.95,0.193531468531454,36.6934523809524
2023-02-27,1,3,"no",5,49.2166666666667,0.193006993006981,36.7569444444444
2023-02-27,1,4,"yes",1,53.1333333333333,0.197552447552438,37.5625
2023-02-27,1,5,"yes",10,47.8166666666667,0.201923076923064,36.4409722222222
2023-02-27,1,6,"no",4,49.6666666666667,0.193006993006981,36.859375
2023-02-27,1,7,"no",9,48.15,0.193531468531454,36.53125
2023-02-27,1,8,"yes",3,50.1833333333333,0.191433566433555,36.9739583333333
2023-02-27,1,9,"yes",8,48.5666666666667,0.193531468531454,36.6157407407407
2023-02-27,1,10,"no",7,48.75,0.193531468531454,36.6432291666667
