"date","run","tube","bopyrid","rank","time","ramp_rate","ctmax"
NA,3,1,"no",8,40.1333333333333,0.195629370629359,36.3310185185185
NA,3,2,"yes",2,43.1666666666667,0.17674825174824,36.9375
NA,3,3,"yes",1,44.4,0.182467532467523,37.2083333333333
NA,3,4,"no",3,43.0166666666667,0.17674825174824,36.9114583333333
NA,3,5,"yes",6,41.25,0.180594405594394,36.5714285714286
NA,3,6,"no",7,40.6333333333333,0.195629370629359,36.4375
NA,3,7,"no",4,42.4333333333333,0.176573426573414,36.8
NA,3,8,"yes",5,41.7333333333333,0.180594405594394,36.6583333333333
NA,3,9,"yes",10,38.0333333333333,0.200524475524465,35.8958333333333
NA,3,10,"no",9,38.6833333333333,0.200524475524465,36.0397727272727
