"date","run","tube","bopyrid","rank","time","ramp_rate","ctmax"
2023-03-01,4,1,"yes",5,45.7833333333333,0.19073426573426,36.4895833333333
2023-03-01,4,2,"no",8,43.8333333333333,0.197552447552442,36.1041666666667
2023-03-01,4,3,"no",7,44.1,0.194405594405587,36.171875
2023-03-01,4,4,"yes",3,47.7166666666667,0.185489510489504,36.8888888888889
2023-03-01,4,5,"yes",9,42.1,0.191608391608384,35.7348484848485
2023-03-01,4,6,"no",6,44.5333333333333,0.194405594405587,36.2470238095238
2023-03-01,4,7,"no",4,47.0833333333333,0.185489510489504,36.7583333333333
2023-03-01,4,8,"yes",10,39.6333333333333,0.198076923076913,35.1979166666667
2023-03-01,4,9,"yes",1,49.9333333333333,0.184160839160835,37.3125
2023-03-01,4,10,"no",2,49.7166666666667,0.184160839160835,37.2604166666667
