host_gen,pathogen_gen,assay_run,ramping_rate,CTmax
M,C1,27/3/17,0.06,38.783
M,C1,27/3/17,0.06,38.556
M,C1,27/3/17,0.06,38.157
M,C1,29/3/17,0.06,38.875
M,C1,29/3/17,0.06,39.218
M,C1,29/3/17,0.06,38.593
M,C1,29/3/17,0.06,38.828
M,C1,29/3/17,0.06,39.329
M,C1,29/3/17,0.06,38.84
M,C1,31/3/17,0.06,38.864
M,C1,31/3/17,0.06,38.699
M,C1,31/3/17,0.06,38.888
M,C1,31/3/17,0.06,38.691
M,C1,31/3/17,0.06,38.236
M,C1,31/3/17,0.06,38.394
M,C14,27/3/17,0.06,38.448
M,C14,27/3/17,0.06,38.762
M,C14,27/3/17,0.06,38.512
M,C14,27/3/17,0.06,37.749
M,C14,27/3/17,0.06,38.494
M,C14,27/3/17,0.06,38.715
M,C14,29/3/17,0.06,38.889
M,C14,29/3/17,0.06,38.698
M,C14,29/3/17,0.06,38.849
M,C14,29/3/17,0.06,38.537
M,C14,29/3/17,0.06,39.143
M,C14,29/3/17,0.06,38.726
M,C14,31/3/17,0.06,38.71
M,C14,31/3/17,0.06,38.425
M,C14,31/3/17,0.06,38.208
M,C14,31/3/17,0.06,38.228
M,C14,31/3/17,0.06,38.368
M,C14,31/3/17,0.06,38.461
M,C20,27/3/17,0.06,38.998
M,C20,27/3/17,0.06,38.693
M,C20,27/3/17,0.06,39.017
M,C20,27/3/17,0.06,38.809
M,C20,27/3/17,0.06,38.948
M,C20,27/3/17,0.06,38.921
M,C20,29/3/17,0.06,39.41
M,C20,29/3/17,0.06,39.094
M,C20,29/3/17,0.06,38.944
M,C20,29/3/17,0.06,39.007
M,C20,29/3/17,0.06,39.064
M,C20,29/3/17,0.06,39.189
M,C20,31/3/17,0.06,NA
M,C20,31/3/17,0.06,38.978
M,C20,31/3/17,0.06,39.002
M,C20,31/3/17,0.06,38.682
M,C20,31/3/17,0.06,38.719
M,C20,31/3/17,0.06,39.011
M,CTRL,27/3/17,0.06,38.963
M,CTRL,27/3/17,0.06,38.988
M,CTRL,27/3/17,0.06,38.933
M,CTRL,27/3/17,0.06,38.892
M,CTRL,27/3/17,0.06,38.727
M,CTRL,27/3/17,0.06,39.274
M,CTRL,29/3/17,0.06,39.16
M,CTRL,29/3/17,0.06,39.107
M,CTRL,29/3/17,0.06,39.355
M,CTRL,29/3/17,0.06,39.469
M,CTRL,29/3/17,0.06,39.31
M,CTRL,29/3/17,0.06,38.915
M,CTRL,31/3/17,0.06,39.254
M,CTRL,31/3/17,0.06,38.936
M,CTRL,31/3/17,0.06,38.945
M,CTRL,31/3/17,0.06,39.022
M,CTRL,31/3/17,0.06,39.246
M,CTRL,31/3/17,0.06,39.041
H,C1,21/3/17,0.04,38.34266667
H,C1,21/3/17,0.04,37.694
H,C1,21/3/17,0.04,37.77933333
H,C1,21/3/17,0.04,37.572
H,C1,21/3/17,0.04,37.428
H,C1,21/3/17,0.04,37.34466667
H,C14,21/3/17,0.04,37.90066667
H,C14,21/3/17,0.04,37.558
H,C14,21/3/17,0.04,38.16333333
H,C14,21/3/17,0.04,37.14066667
H,C14,21/3/17,0.04,38.08666667
H,C14,21/3/17,0.04,37.15666667
H,C20,21/3/17,0.04,37.258
H,C20,21/3/17,0.04,37.06133333
H,C20,21/3/17,0.04,NA
H,C20,21/3/17,0.04,37.10266667
H,C20,21/3/17,0.04,NA
H,C20,21/3/17,0.04,37.07866667
H,CTRL,21/3/17,0.04,37.28066667
H,CTRL,21/3/17,0.04,NA
H,CTRL,21/3/17,0.04,NA
H,CTRL,21/3/17,0.04,38.616
H,CTRL,21/3/17,0.04,37.91666667
H,CTRL,21/3/17,0.04,37.09333333
H,C1,23/3/17,0.04,37.24266667
H,C1,23/3/17,0.04,37.288
H,C1,23/3/17,0.04,37.644
H,C1,23/3/17,0.04,36.086
H,C14,23/3/17,0.04,35.45733333
H,C14,23/3/17,0.04,37.31933333
H,C14,23/3/17,0.04,37.36133333
H,C14,23/3/17,0.04,37.89333333
H,C14,23/3/17,0.04,37.504
H,C14,23/3/17,0.04,36.526
H,C20,23/3/17,0.04,NA
H,C20,23/3/17,0.04,37.658
H,C20,23/3/17,0.04,37.34
H,C20,23/3/17,0.04,37.5
