host_gen,pathogen_gen,assay_run,ramping_rate,CTmax
M,C14,31/3/17,0.02,36.49533333
M,C20,27/3/17,0.02,37.50466667
M,C20,27/3/17,0.02,37.07366667
M,C20,27/3/17,0.02,37.05733333
M,C20,27/3/17,0.02,37.474
M,C20,27/3/17,0.02,37.27533333
M,C20,29/3/17,0.02,37.49033333
M,C20,29/3/17,0.02,37.19366667
M,C20,29/3/17,0.02,37.263
M,C20,29/3/17,0.02,36.768
M,C20,29/3/17,0.02,37.317
M,C20,31/3/17,0.02,36.94333333
M,C20,31/3/17,0.02,37.41833333
M,C20,31/3/17,0.02,37.01633333
M,C20,31/3/17,0.02,37.40566667
M,C20,31/3/17,0.02,36.94833333
M,CTRL,27/3/17,0.02,36.668
M,CTRL,27/3/17,0.02,36.70166667
M,CTRL,27/3/17,0.02,37.11666667
M,CTRL,27/3/17,0.02,36.681
M,CTRL,27/3/17,0.02,36.917
M,CTRL,27/3/17,0.02,37.21633333
M,CTRL,29/3/17,0.02,37.236
M,CTRL,29/3/17,0.02,37.25666667
M,CTRL,29/3/17,0.02,37.224
M,CTRL,29/3/17,0.02,37.39633333
M,CTRL,29/3/17,0.02,37.39833333
M,CTRL,29/3/17,0.02,37.103
M,CTRL,29/3/17,0.02,37.548
M,CTRL,31/3/17,0.02,37.41533333
M,CTRL,31/3/17,0.02,37.19833333
M,CTRL,31/3/17,0.02,37.36533333
M,CTRL,31/3/17,0.02,37.044
M,CTRL,31/3/17,0.02,37.116
M,CTRL,31/3/17,0.02,37.056
M,CTRL,31/3/17,0.02,36.86766667
